City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
85,Sola,VU,86.67,broken clouds,-13.8833,167.55,Leumerus Bungalows
88,Naze,JP,49.12,overcast clouds,28.3667,129.4833,Shishime Hotel
90,Cabo San Lucas,MX,79.52,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
91,Zaysan,KZ,8.24,scattered clouds,47.4667,84.8667,Ерлан үй
92,Lorengau,PG,83.21,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
94,Segou,ML,77.23,overcast clouds,13.4317,-6.2157,Comme chez soi
96,Bluff,NZ,59.81,scattered clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
97,Gazanjyk,TM,34.77,few clouds,39.2446,55.5154,Railway motel
98,Basco,PH,73.04,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
99,Ambilobe,MG,74.66,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
100,Hervey Bay,AU,79.03,light rain,-25.2986,152.8535,Shelly Bay Resort
101,Plettenberg Bay,ZA,65.53,moderate rain,-34.0527,23.3716,Thanda Vista B&B
102,Sterling,US,54.21,few clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
103,Bathsheba,BB,75.81,few clouds,13.2167,-59.5167,Atlantis Hotel
104,Kudahuvadhoo,MV,81.0,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
105,Pokhara,NP,50.27,broken clouds,28.2333,83.9833,Butterfly Lodge
106,Newcastleton,GB,41.23,overcast clouds,55.1796,-2.8127,Sorbietrees B&B
107,Bredasdorp,ZA,68.29,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
108,East London,ZA,71.26,overcast clouds,-33.0153,27.9116,Tu Casa
109,Riyadh,SA,50.14,few clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
110,Inirida,CO,78.22,scattered clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
111,Kristianstad,SE,22.84,fog,56.0313,14.1524,First Hotel Christian IV
113,Hilo,US,79.29,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
114,Ponta Do Sol,PT,69.01,overcast clouds,32.6667,-17.1,Hotel do Campo
115,Chicama,PE,64.94,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
116,Coihaique,CL,64.35,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
119,Hasaki,JP,36.28,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
120,Alyangula,AU,82.27,light rain,-13.8483,136.4192,Groote Eylandt Lodge
121,Korla,CN,16.21,few clouds,41.7597,86.1469,Gulisitan Hotel
122,Port Blair,IN,78.37,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
125,Harper,LR,79.63,light rain,4.375,-7.7169,Screensaver
126,Iranshahr,IR,57.54,clear sky,27.2025,60.6848,نیک سرشت
127,Santa Lucia,ES,58.32,broken clouds,27.9117,-15.5407,Las Tirajanas
129,Codrington,AU,61.77,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
130,Kisangani,CD,71.46,overcast clouds,0.5167,25.2,Grand Ramela Hotel
131,Tamandare,BR,77.83,light rain,-8.7597,-35.1047,Pousada 100 Passos
132,Kushima,JP,38.71,clear sky,31.4583,131.2333,Hanaoka
133,The Valley,AI,79.83,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
134,Lebu,CL,59.13,scattered clouds,-37.6167,-73.65,Hostal Las Lilas
135,Vao,NC,77.61,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
136,Hillsborough,US,50.2,light rain,37.5741,-122.3794,Hyatt Regency San Francisco Airport
137,Kutum,SD,59.77,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
138,Kavieng,PG,83.34,moderate rain,-2.5744,150.7967,Nusa Island Retreat
139,Jamestown,US,34.92,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
140,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
141,Airai,TL,60.85,light rain,-8.9266,125.4092,Juvinal Martin
142,North Bay,CA,15.94,light snow,46.3168,-79.4663,"Holiday Inn Express & Suites North Bay, an IHG Hotel"
143,Santa Ana,US,59.65,scattered clouds,33.7456,-117.8678,Santa Ana Travel Inn
